,Path,Models,t_leaf,t_downy,Ground truth,p_leaf,p_downy,Predict
0,16-1-1-1(1)_10.npy,maenet,44064,0,0.0,39321.0,0.0,0.0
1,16-1-1-1(1)_13.npy,maenet,43373,0,0.0,38714.0,0.0,0.0
2,16-1-1-1(1)_6.npy,maenet,42192,0,0.0,39393.0,0.0,0.0
3,16-1-1-1(100)_12.npy,maenet,17545,0,0.0,38886.0,0.0,0.0
4,16-1-1-1(100)_7.npy,maenet,17747,0,0.0,38919.0,0.0,0.0
5,16-1-1-1(101)_2.npy,maenet,19962,0,0.0,38811.0,0.0,0.0
6,16-1-1-1(108)_1.npy,maenet,9128,2790,0.23409968115455612,30522.0,8844.0,0.22466087
7,16-1-1-1(108)_12.npy,maenet,11285,0,0.0,38796.0,0.0,0.0
8,16-1-1-1(108)_13.npy,maenet,11362,0,0.0,39025.0,0.0,0.0
9,16-1-1-1(108)_15.npy,maenet,11779,0,0.0,39362.0,0.0,0.0
10,16-1-1-1(108)_22.npy,maenet,9236,1980,0.17653352353780313,32777.0,6780.0,0.17139824
11,16-1-1-1(108)_5.npy,maenet,8291,3340,0.2871636144785487,28202.0,11086.0,0.28217268
12,16-1-1-1(110)_8.npy,maenet,12499,0,0.0,39111.0,0.0,0.0
13,16-1-1-1(14)_7.npy,maenet,15068,6366,0.2970047587944387,28402.0,10438.0,0.26874357
14,16-1-1-1(18)_5.npy,maenet,16119,0,0.0,39473.0,0.0,0.0
15,16-1-1-1(18)_6.npy,maenet,15993,0,0.0,38160.0,0.0,0.0
16,16-1-1-1(2)_5.npy,maenet,38516,0,0.0,38810.0,0.0,0.0
17,16-1-1-1(20)_12.npy,maenet,29222,6462,0.1810895639502298,31928.0,7070.0,0.18129134
18,16-1-1-1(20)_17.npy,maenet,26820,8243,0.2350911216952343,29527.0,9019.0,0.23398018
19,16-1-1-1(201)_4.npy,maenet,35560,0,0.0,38230.0,0.0,0.0
20,16-1-1-1(201)_7.npy,maenet,37065,0,0.0,39654.0,0.0,0.0
21,16-1-1-1(202)_6.npy,maenet,46873,0,0.0,38855.0,0.0,0.0
